"org_id","supplier_name"
1456,"Lomita - City, Water Department"
827,"El Segundo - City, Water Department"
2163,"San Fernando - City, Water Department"
99,"City Of Arroyo Grande Utilities Division"
170,"Bellflower - Somerset Mutual Water Company"
1481,"Los Angeles Cwwd 29 & 80 - Malibu"
651,"Crescenta Valley Cwd"
644,"Covina - City, Water Department"
1506,"Lynwood - City, Water Department"
2341,"South Gate - City, Water Department"
524,"Cerritos - City, Water Department"
1068,"Goleta Water District"
2220,"Santa Monica - City, Water Division"
1384,"Las Virgenes Mwd"
1370,"Lakewood - City, Water Department"
1873,"Pasadena Water And Power"
1484,"Los Angeles Cwwd 40 Reg 4 & 34 Lancaster"
4993,"Santa Clarita Valley W.a. - Castaic Div"
4993,"Santa Clarita Valley W.a. - Pinetree Div"
1484,"Los Angeles Cwwd 40, R 24,27,33 - Pearblsm"
155,"Bear Valley Community Services District"
2119,"Rubio Canon Land & Water Association"
66,"City Of Anderson"
1484,"Los Angeles Cwwd 40, Reg. 38 - Lake La"
2618,"Valley Water Co"
4993,"Santa Clarita Valley W.a. - Newhall Div"
1731,"Nipomo Comm Services District"
1425,"Lincoln Avenue Water Co"
378,"City Of California City"
1645,"Montecito Water District"
2679,"West Kern Water District"
2487,"Torrance - City, Water Department"
87,"Liberty Utilities Av Ranchos Corporation"
2323,"City Of Soledad"
890,"City Of Fillmore Water Department"
443,"City Of Camarillo Water Department"
2766,"City Of Woodland"
678,"City Of Davis"
198,"Big Bear Shores Rv Resort"
2444,"Tahoe City Public Utility District - Tahoe Cedars"
1730,"City Of Newport Beach"
967,"City Of Fullerton"
1927,"Placer Cwa - Monte Vista"
1927,"Placer Cwa - Applegate"
1927,"Placer Cwa - Alta"
1927,"Placer Cwa - Colfax"
863,"City Of Exeter"
2031,"City Of Red Bluff"
737,"City Of Dinuba"
1956,"City Of Porterville"
427,"Cws - Mullen Water Company"
1432,"City Of Lindsay"
2516,"City Of Tulare"
427,"Cws - Visalia"
1877,"City Of Patterson"
2751,"Town Of Windsor"
522,"City Of Ceres"
2524,"City Of Turlock"
2224,"City Of Santa Rosa"
2697,"Western Mwd Id A - Rainbow"
1626,"Palm Springs Crest"
1626,"West Palm Springs Village"
904,"City Of Folsom Ashland"
388,"Cal - Water Service Co. - Hamilton City"
2490,"Trabuco Canyon Water District"
1327,"City Of La Palma"
2334,"South Coast Water District"
924,"City Of Fountain Valley"
2159,"City Of San Clemente"
283,"City Of Buena Park"
1797,"City Of Orange"
2111,"City Of Roseville"
64,"City Of Anaheim"
1245,"Irvine Ranch Water District"
55,"Awa, Ione"
55,"Awa, Tanner"
794,"Eastern Municipal Water District"
2697,"Western Mwd - Murrieta Division"
2179,"San Juan Water District"
129,"City Of Banning"
1324,"City Of La Habra"
866,"Fair Oaks Water District"
1352,"Lake Hemet Mwd"
159,"Beaumont Cherry Valley Water District"
2697,"Western Mwd"
1273,"Jurupa Community Services District"
842,"Elsinore Valley Mwd"
1215,"City Of Huntington Beach"
55,"Awa Buckhorn Plant"
2466,"Thermalito Water & Sewer District"
412,"Cal - Water Service Co. - Oroville"
699,"Del Oro Water Co. - Paradise Pines"
739,"Town Of Discovery Bay"
2337,"South Feather W&P - Miners Ranch"
1443,"City Of Livermore"
1554,"City Of Martinez"
1859,"Paradise Irrigation District"
1925,"City Of Pittsburg"
401,"California Water Service - Livermore"
759,"Dublin San Ramon Services District"
1940,"City Of Pleasanton"
388,"Cal - Water Service Co. - Chico"
82,"City Of Antioch"
613,"Contra Costa Water District"
23,"Alameda County Water District"
1756,"Norwalk - City, Water Department"
2164,"Sfpuc - Pleasanton Wells"
1143,"City Of Hayward"
351,"Ccwd - Copper Cove"
649,"City Of Crescent City"
351,"Ccwd - Jenny Lind"
1031,"Golden State Water Company - Bay Point"
351,"Ccwd - Ebbetts Pass"
731,"Diablo Water District"
264,"Brentwood"
775,"East Bay Mud"
2438,"Sweetwater Springs Cwd - Monte Rio"
2438,"Sweetwater Springs Cwd - Guerneville"
572,"City Of Cloverdale"
1729,"City Of Newman - Water Department"
1144,"City Of Healdsburg"
1613,"City Of Millbrae"
1765,"City Of Oakdale"
1656,"City Of Morgan Hill"
2790,"City Of Yuba City"
1894,"City Of Petaluma"
2401,"Suburban Water Systems - Glendora"
618,"City Of Corcoran"
1286,"City Of Kerman"
2979,"City Of Chowchilla Water Department"
920,"City Of Fortuna"
2042,"City Of Reedley"
1415,"City Of Lemoore"
711,"City Of Delano"
814,"City Of El Centro"
2402,"Suburban Water Systems - La Mirada"
2402,"Suburban Water Systems - Whittier"
2401,"Suburban Water Systems - San Jose"
1631,"City Of Modesto - Salida"
2103,"City Of Rohnert Park"
2337,"South Feather W&P - Bangor"
55,"Awa La Mel Heights #3"
397,"Cws - Split Mountain Water System"
816,"El Dorado Id - Outingdale"
397,"Cws - Lakeland"
397,"Cws - Onyx Water System"
397,"Cws - Upper Bodfish Water System"
397,"Cws - Lower Bodfish Water System"
55,"Awa - Camanche Village"
816,"El Dorado Id - Strawberry"
2164,"Town Of Sunol - Sfpuc"
2444,"Tahoe City Public Utility District - Rubicon"
1484,"Los Angeles Cwwd 40, Reg. 35 - N.e. L.a"
1484,"Los Angeles Cwwd 40, Reg. 39 - Rock Creek"
561,"Citrus Heights Water District"
2033,"City Of Redding"
4993,"Santa Clarita Valley W.a. - Tesoro Div"
1923,"Pismo Beach Water Department"
1869,"Liberty Utilities - Compton"
1304,"City Of Kingsburg"
990,"Georgetown Divide Public Utility District"
578,"Coalinga - City"
2662,"City Of Wasco"
1570,"Mckinleyville Community Services District"
94,"City Of Arcata"
262,"City Of Brawley"
2205,"City Of Sanger"
421,"Cws - Selma"
353,"City Of Calexico"
859,"City Of Eureka"
2348,"South Tahoe Public Utility District - Main"
574,"City Of Clovis"
934,"City Of Fresno"
2132,"Southwest Tract W M D [Sws]"
1927,"Placer Cwa - Bianchi Estates"
2326,"City Of Sonoma"
2610,"Valley Of The Moon Water District"
198,"Department Of Water And Power"
198,"Dwp - Fawnskin"
94,"Jacoby Creek Community Services District"
351,"Ccwd - West Point"
351,"Ccwd - Sheep Ranch"
351,"Ccwd - Wallace"
124,"Bakman Water Company"
1371,"Lamont Public Utility District"
1225,"City Of Imperial"
1210,"Humboldt Community Services District"
816,"El Dorado Id - Main"
1900,"Pico Water District"
972,"City Of Galt"
2074,"City Of Riverbank"
1631,"City Of Modesto"
2175,"City Of Cupertino"
22,"Alameda County Flood Control District Zone 7"
55,"Amador Water Agency"
79,"Antelope Valley - East Kern Water Agency"
87,"Apple Valley Ranchos Water Company"
99,"City Of Arroyo Grande"
102,"Arvin Community Service District"
